PPFD	w64a-13-up	w64a-11-up	w64a-2-up	w64a-10-up	w64a-9-up
2000	39.87022244	37.19778425	36.91403117	38.79242918	35.04600976
1600	37.11385365	34.11939359	36.57931087	37.66229835	33.52664713
1200	33.3992561	30.14138733	32.89933925	32.4967223	30.44015773
1000	29.84423605	27.40521553	30.22108515	28.36406111	28.5738417
800	25.15404183	24.02162467	26.70816728	23.99590903	25.37080813
600	19.19299823	18.46262331	21.56890471	18.95335231	20.88436309
400	12.73207572	12.52260786	14.03364714	13.31265551	14.48163193
300	9.983247999	8.778540196	11.78416067	10.09961114	11.22835286
200	6.047600449	6.557605267	6.6735342	6.89108059	6.998303152
150	4.513293862	4.560863235	5.19626273	5.037413079	5.362554104
100	1.53855272	2.785045646	3.291274606	3.129016893	3.193365431
50	0.64005016	0.323241263	0.527198987	1.174143429	1.062968651
0	-3.500314467	-3.428858015	-3.427579797	-3.220717627	-2.711964027
