PPFD	a619-6-low	a619-9-low	a619-7-low	a619-4-low	a619-8-low
2000	30.56220599	31.08584693	24.26857304	21.04	29.1
1600	29.46425424	30.60311931	23.26539404	19.92	27.3
1200	27.30076098	28.64845193	21.51006085	18.28	25
1000	25.52347516	26.43506618	20.0625095	17.32	23.24
800	23.00247778	23.79739668	18.12374164	16.08	21.2
600	19.77930448	20.89190862	16.37937447	14.28	18.36
400	15.30055242	16.745465	13.60720253	11.42	13.82
300	11.578886	13.16748833	11.67123974	9.742	10.38
200	7.078086844	8.310473786	8.332347136	6.134	6.752
150	4.890707512	5.449535644	6.12406111	5.308	4.738
100	2.477314469	2.827763413	3.481928108	2.334	2.582
50	0.143320733	0.134608122	1.036167379	0.6188	0.5016
0	-3.382337821	-4.103321216	-2.473328288	-1.454	-2.326
