PPFD	a619-8-up	a619-9-up	a619-6-up	a619-7-up	a619-4-up
2000	29.64 	36.15 	31.29 	32.47 	35.35 
1600	29.30 	34.63 	30.82 	32.59 	33.33 
1200	28.13 	32.27 	29.70 	30.17 	30.13 
1000	27.37 	30.58 	28.49 	28.23 	28.06 
800	26.36 	28.20 	26.78 	25.95 	25.36 
600	23.90 	24.49 	23.92 	22.67 	21.67 
400	19.21 	18.52 	18.74 	17.50 	16.06 
300	15.06 	14.32 	14.86 	13.56 	12.38 
200	10.25 	9.81 	10.14 	8.90 	8.39 
150	7.83 	7.37 	7.72 	6.76 	6.44 
100	5.16 	4.85 	5.05 	4.49 	4.26 
50	2.13 	2.00 	1.86 	1.81 	1.70 
0	-2.36 	-2.86 	-2.44 	-2.15 	-2.23 
