PPFD	w64a-10	w64a-9	w64a-13-up	w64a-11-up	w64a-12-up
2000	41.71263901	41.65754301	40.28	41.10073193	37.20896665
1600	38.93342036	40.57188952	38.06	37.65881005	34.75772348
1200	34.48339935	37.22429402	34.68	32.37311699	31.68721965
1000	30.83006801	34.2154797	32.18	28.58514662	29.36842648
800	26.91586992	29.20912119	28.54	24.08652283	26.41709141
600	20.76944736	23.16215124	22.72	18.74959542	21.97222694
400	13.72395548	15.55158284	16.08	12.69623329	15.45940537
300	10.8511198	11.45595098	11.72	9.311379179	11.53454127
200	6.943823641	7.392328176	8.146	5.906577112	7.411677334
150	5.108127285	5.502706359	5.984	4.3972263	5.375410222
100	2.926824534	3.378791588	3.662	2.574204557	3.235552372
50	0.782190079	0.887239935	1.334	0.51713866	0.927832893
0	-4.17420382	-3.440190149	-3.59	-3.994925519	-2.936141293
