PPFD	a619-8-low	a619-6-low	a619-7-low	a619-9-low	a619-4-low
2000	27.34113102	23.35318788	23.03969085	23.18689204	18.68448762
1600	26.49546276	24.01262062	23.56517222	23.15168194	18.10038355
1200	24.64812833	23.51592904	23.17840946	21.64642251	17.24129884
1000	23.13456313	22.85167782	22.60957522	20.62127689	16.59347277
800	21.42590472	21.42297	21.46628268	19.42492563	15.79481547
600	18.93904917	19.61213401	19.57686711	17.4521452	14.71448134
400	15.5566684	16.55515546	16.59286	14.76165623	12.76073734
300	12.75512694	14.02826261	13.82210303	12.57006579	11.05820499
200	8.990377177	10.48235404	10.02217481	9.169679443	8.702318882
150	6.611232441	7.963738055	7.439983707	6.991462222	6.980683561
100	4.321777516	5.22735791	4.918907421	4.506334733	4.820064018
50	1.862122194	2.350530622	2.012548543	2.124654485	2.301580969
0	-1.732954751	-1.605448311	-1.886935287	-1.657950806	-1.336458429
