PPFD	a619-8-up	a619-9-up	a619-7-up	a619-6-up	a619-4-up
2000	47.10708396	46.78393963	46.26	45.28	47.29644128
1600	45.83145579	45.98546496	44.52	42.72	44.27182001
1200	42.47040795	42.70555051	40.62	38.8	39.842938
1000	39.45890537	39.18478662	37.48	36	36.66628403
800	35.12466185	33.99528119	33.02	32.24	32.23795673
600	28.30185228	26.80259466	26.64	26.78	26.20375181
400	19.13510181	17.68229495	18.16	18.8	17.797197
300	13.94937681	12.67353012	13.32	14.08	12.69197164
200	8.916738889	7.805181195	8.194	9.37	8.186974688
150	6.218036816	5.501833732	5.544	6.938	5.805996976
100	3.43192192	2.804013309	3.118	4.3	3.23690401
50	0.50349945	-0.260550081	0.02064	1.212	0.451447575
0	-4.177756852	-5.19776075	-4.742	-3.958	-4.236126303
