 -3.668 -43.842  62.547  -3.567 -43.824  62.960  -3.537 -44.510  62.880   1.000   1.000
 -3.567 -43.824  62.960  -3.537 -44.510  62.880  -3.434 -44.470  63.540   1.000   1.000
 -3.567 -43.824  62.960  -3.458 -43.940  63.670  -3.434 -44.470  63.540   1.000   1.000
 -3.458 -43.940  63.670  -3.434 -44.470  63.540  -3.339 -44.122  64.240   1.000   1.000
 -3.279 -44.016  64.840  -3.310 -43.738  65.427  -3.345 -44.137  65.641   1.000   1.000
 -3.310 -43.738  65.427  -3.345 -44.137  65.641  -3.367 -43.435  66.175   1.000   1.000
 -3.345 -44.137  65.641  -3.367 -43.435  66.175  -3.349 -44.027  66.313   1.000   1.000
 -3.367 -43.435  66.175  -3.349 -44.027  66.313  -3.410 -43.351  66.788   1.000   1.000
 -3.349 -44.027  66.313  -3.410 -43.351  66.788  -3.358 -43.946  67.114   1.000   1.000
 -3.410 -43.351  66.788  -3.358 -43.946  67.114  -3.468 -43.778  67.660   1.000   1.000
 -3.410 -43.351  66.788  -3.468 -43.778  67.660  -3.405 -43.161  67.708   1.000   1.000
 -3.358 -43.946  67.114  -3.468 -43.778  67.660  -3.304 -43.968  67.927   1.000   1.000
 -3.468 -43.778  67.660  -3.405 -43.161  67.708  -3.582 -43.882  67.891   1.000   1.000
 -3.468 -43.778  67.660  -3.582 -43.882  67.891  -3.304 -43.968  67.927   1.000   1.000
 -3.405 -43.161  67.708  -3.582 -43.882  67.891  -3.317 -43.299  68.274   1.000   1.000
 -3.582 -43.882  67.891  -3.304 -43.968  67.927  -3.648 -43.925  68.431   1.000   1.000
 -3.582 -43.882  67.891  -3.317 -43.299  68.274  -3.648 -43.925  68.431   1.000   1.000
 -3.304 -43.968  67.927  -3.269 -43.917  68.402  -3.648 -43.925  68.431   1.000   1.000
 -3.317 -43.299  68.274  -3.648 -43.925  68.431  -3.753 -43.787  69.176   1.000   1.000
 -3.317 -43.299  68.274  -3.240 -43.202  69.000  -3.753 -43.787  69.176   1.000   1.000
 -3.269 -43.917  68.402  -3.648 -43.925  68.431  -3.216 -43.888  69.157   1.000   1.000
 -3.269 -43.917  68.402  -3.240 -43.202  69.000  -3.216 -43.888  69.157   1.000   1.000
 -3.648 -43.925  68.431  -3.216 -43.888  69.157  -3.753 -43.787  69.176   1.000   1.000
 -3.240 -43.202  69.000  -3.216 -43.888  69.157  -2.520 -43.297  69.878   1.000   1.000
 -3.240 -43.202  69.000  -3.753 -43.787  69.176  -3.675 -43.061  69.713   1.000   1.000
 -3.240 -43.202  69.000  -3.070 -42.978  69.671  -3.675 -43.061  69.713   1.000   1.000
 -3.240 -43.202  69.000  -3.070 -42.978  69.671  -2.520 -43.297  69.878   1.000   1.000
 -3.216 -43.888  69.157  -3.753 -43.787  69.176  -3.734 -43.505  69.944   1.000   1.000
 -3.216 -43.888  69.157  -3.019 -43.656  69.927  -3.734 -43.505  69.944   1.000   1.000
 -3.216 -43.888  69.157  -3.019 -43.656  69.927  -2.520 -43.297  69.878   1.000   1.000
 -3.753 -43.787  69.176  -3.734 -43.505  69.944  -3.675 -43.061  69.713   1.000   1.000
