  3.657 -48.853  23.518   3.408 -48.816  23.487   3.000 -48.495  24.241   1.000   1.000
  3.000 -48.495  24.241   2.765 -48.424  24.421   3.054 -48.515  24.911   1.000   1.000
  2.765 -48.424  24.421   3.054 -48.515  24.911   2.677 -47.943  25.406   1.000   1.000
  2.971 -49.267  24.889   2.838 -48.951  24.919   2.818 -49.007  25.345   1.000   1.000
  2.838 -48.951  24.919   3.054 -48.515  24.911   2.674 -48.510  25.137   1.000   1.000
  2.838 -48.951  24.919   2.674 -48.510  25.137   2.818 -49.007  25.345   1.000   1.000
  3.054 -48.515  24.911   2.674 -48.510  25.137   2.677 -47.943  25.406   1.000   1.000
  2.674 -48.510  25.137   2.818 -49.007  25.345   2.660 -48.744  25.667   1.000   1.000
  2.674 -48.510  25.137   2.660 -48.744  25.667   2.036 -48.611  25.929   1.000   1.000
  2.674 -48.510  25.137   2.677 -47.943  25.406   2.036 -48.611  25.929   1.000   1.000
  2.677 -47.943  25.406   3.065 -46.912  25.242   2.726 -47.082  25.778   1.000   1.000
  2.677 -47.943  25.406   2.036 -48.611  25.929   2.609 -48.133  26.071   1.000   1.000
  2.677 -47.943  25.406   2.609 -48.133  26.071   2.659 -47.454  26.228   1.000   1.000
  2.677 -47.943  25.406   2.726 -47.082  25.778   2.659 -47.454  26.228   1.000   1.000
  3.065 -46.912  25.242   3.053 -47.032  25.588   2.726 -47.082  25.778   1.000   1.000
  2.036 -48.611  25.929   2.609 -48.133  26.071   2.572 -48.143  26.648   1.000   1.000
  2.609 -48.133  26.071   2.659 -47.454  26.228   2.572 -48.143  26.648   1.000   1.000
  2.726 -47.082  25.778   2.940 -46.928  25.911   3.133 -47.358  26.263   1.000   1.000
  2.726 -47.082  25.778   2.940 -46.928  25.911   2.583 -46.674  26.048   1.000   1.000
  2.726 -47.082  25.778   2.659 -47.454  26.228   3.133 -47.358  26.263   1.000   1.000
  2.940 -46.928  25.911   3.133 -47.358  26.263   3.190 -46.780  26.543   1.000   1.000
  2.940 -46.928  25.911   2.583 -46.674  26.048   2.775 -46.654  26.524   1.000   1.000
  2.940 -46.928  25.911   3.190 -46.780  26.543   2.775 -46.654  26.524   1.000   1.000
  2.659 -47.454  26.228   3.133 -47.358  26.263   2.728 -47.711  26.861   1.000   1.000
  2.659 -47.454  26.228   2.572 -48.143  26.648   2.728 -47.711  26.861   1.000   1.000
  3.133 -47.358  26.263   2.728 -47.711  26.861   2.747 -47.113  27.210   1.000   1.000
  3.133 -47.358  26.263   3.190 -46.780  26.543   2.747 -47.113  27.210   1.000   1.000
  2.583 -46.674  26.048   2.775 -46.654  26.524   2.868 -45.849  26.186   1.000   1.000
  2.728 -47.711  26.861   2.747 -47.113  27.210   2.670 -46.968  27.686   1.000   1.000
  3.190 -46.780  26.543   2.775 -46.654  26.524   2.747 -47.113  27.210   1.000   1.000
  2.775 -46.654  26.524   2.868 -45.849  26.186   3.114 -46.080  26.750   1.000   1.000
  2.775 -46.654  26.524   2.747 -47.113  27.210   2.866 -46.252  27.370   1.000   1.000
  2.775 -46.654  26.524   3.114 -46.080  26.750   2.866 -46.252  27.370   1.000   1.000
  2.868 -45.849  26.186   3.336 -45.883  26.318   3.114 -46.080  26.750   1.000   1.000
  2.868 -45.849  26.186   3.336 -45.883  26.318   3.189 -45.124  26.325   1.000   1.000
  3.336 -45.883  26.318   3.114 -46.080  26.750   3.269 -45.430  26.949   1.000   1.000
  3.336 -45.883  26.318   3.189 -45.124  26.325   3.269 -45.430  26.949   1.000   1.000
  2.747 -47.113  27.210   2.670 -46.968  27.686   2.866 -46.252  27.370   1.000   1.000
  3.114 -46.080  26.750   2.866 -46.252  27.370   3.121 -46.006  27.396   1.000   1.000
  3.114 -46.080  26.750   3.269 -45.430  26.949   3.121 -46.006  27.396   1.000   1.000
  3.189 -45.124  26.325   3.591 -44.720  26.075   3.226 -44.643  26.628   1.000   1.000
  3.189 -45.124  26.325   3.269 -45.430  26.949   3.226 -44.643  26.628   1.000   1.000
  3.591 -44.720  26.075   3.804 -44.286  26.171   3.226 -44.643  26.628   1.000   1.000
  2.670 -46.968  27.686   2.866 -46.252  27.370   2.695 -46.662  28.074   1.000   1.000
  2.866 -46.252  27.370   3.121 -46.006  27.396   3.087 -45.689  27.671   1.000   1.000
  2.866 -46.252  27.370   2.695 -46.662  28.074   2.608 -45.998  28.368   1.000   1.000
