  3.004 -41.503  46.754   2.756 -41.489  46.698   2.319 -40.841  47.174   1.000   1.000
  2.319 -40.841  47.174   2.077 -40.692  47.283   2.343 -40.524  47.766   1.000   1.000
  2.077 -40.692  47.283   2.343 -40.524  47.766   1.952 -39.786  47.894   1.000   1.000
  2.253 -41.188  48.118   2.122 -40.901  47.980   2.083 -40.737  48.376   1.000   1.000
  2.122 -40.901  47.980   2.343 -40.524  47.766   1.954 -40.411  47.942   1.000   1.000
  2.122 -40.901  47.980   1.954 -40.411  47.942   2.083 -40.737  48.376   1.000   1.000
  2.343 -40.524  47.766   1.954 -40.411  47.942   1.952 -39.786  47.894   1.000   1.000
  1.954 -40.411  47.942   2.083 -40.737  48.376   1.913 -40.351  48.517   1.000   1.000
  1.954 -40.411  47.942   1.913 -40.351  48.517   1.280 -40.112  48.650   1.000   1.000
  1.954 -40.411  47.942   1.952 -39.786  47.894   1.280 -40.112  48.650   1.000   1.000
  1.952 -39.786  47.894   2.359 -38.969  47.255   1.994 -38.853  47.788   1.000   1.000
  1.952 -39.786  47.894   1.280 -40.112  48.650   1.852 -39.620  48.560   1.000   1.000
  1.952 -39.786  47.894   1.852 -39.620  48.560   1.903 -38.953  48.361   1.000   1.000
  1.952 -39.786  47.894   1.994 -38.853  47.788   1.903 -38.953  48.361   1.000   1.000
  2.359 -38.969  47.255   2.330 -38.901  47.614   1.994 -38.853  47.788   1.000   1.000
  1.280 -40.112  48.650   1.852 -39.620  48.560   1.790 -39.342  49.064   1.000   1.000
  1.852 -39.620  48.560   1.903 -38.953  48.361   1.790 -39.342  49.064   1.000   1.000
  1.994 -38.853  47.788   2.204 -38.651  47.836   2.376 -38.846  48.364   1.000   1.000
  1.994 -38.853  47.788   2.204 -38.651  47.836   1.844 -38.366  47.813   1.000   1.000
  1.994 -38.853  47.788   1.903 -38.953  48.361   2.376 -38.846  48.364   1.000   1.000
  2.204 -38.651  47.836   2.376 -38.846  48.364   2.427 -38.205  48.321   1.000   1.000
  2.204 -38.651  47.836   1.844 -38.366  47.813   2.015 -38.110  48.224   1.000   1.000
  2.204 -38.651  47.836   2.427 -38.205  48.321   2.015 -38.110  48.224   1.000   1.000
  1.903 -38.953  48.361   2.376 -38.846  48.364   1.941 -38.860  49.040   1.000   1.000
  1.903 -38.953  48.361   1.790 -39.342  49.064   1.941 -38.860  49.040   1.000   1.000
  2.376 -38.846  48.364   1.941 -38.860  49.040   1.952 -38.166  49.045   1.000   1.000
  2.376 -38.846  48.364   2.427 -38.205  48.321   1.952 -38.166  49.045   1.000   1.000
  1.844 -38.366  47.813   2.015 -38.110  48.224   2.132 -37.579  47.534   1.000   1.000
  1.941 -38.860  49.040   1.952 -38.166  49.045   1.856 -37.805  49.382   1.000   1.000
  2.427 -38.205  48.321   2.015 -38.110  48.224   1.952 -38.166  49.045   1.000   1.000
  2.015 -38.110  48.224   2.132 -37.579  47.534   2.350 -37.496  48.148   1.000   1.000
  2.015 -38.110  48.224   1.952 -38.166  49.045   2.073 -37.339  48.760   1.000   1.000
  2.015 -38.110  48.224   2.350 -37.496  48.148   2.073 -37.339  48.760   1.000   1.000
  2.132 -37.579  47.534   2.593 -37.538  47.686   2.350 -37.496  48.148   1.000   1.000
  2.132 -37.579  47.534   2.593 -37.538  47.686   2.455 -36.878  47.307   1.000   1.000
  2.593 -37.538  47.686   2.350 -37.496  48.148   2.504 -36.831  48.004   1.000   1.000
  2.593 -37.538  47.686   2.455 -36.878  47.307   2.504 -36.831  48.004   1.000   1.000
  1.952 -38.166  49.045   1.856 -37.805  49.382   2.073 -37.339  48.760   1.000   1.000
  2.350 -37.496  48.148   2.073 -37.339  48.760   2.330 -37.110  48.671   1.000   1.000
  2.350 -37.496  48.148   2.504 -36.831  48.004   2.330 -37.110  48.671   1.000   1.000
  2.455 -36.878  47.307   2.873 -36.647  46.908   2.485 -36.309  47.332   1.000   1.000
  2.455 -36.878  47.307   2.504 -36.831  48.004   2.485 -36.309  47.332   1.000   1.000
  2.873 -36.647  46.908   3.086 -36.221  46.784   2.485 -36.309  47.332   1.000   1.000
  1.856 -37.805  49.382   2.073 -37.339  48.760   1.867 -37.346  49.567   1.000   1.000
  2.073 -37.339  48.760   2.330 -37.110  48.671   2.288 -36.699  48.751   1.000   1.000
