-9.833 -14.589  22.182  -9.727 -14.627  22.321  -9.576 -14.884  21.991   1.000   1.000
-9.727 -14.627  22.326  -9.576 -14.884  21.991  -9.264 -14.878  22.377   1.000   1.000
-9.727 -14.627  22.326  -9.601 -14.654  22.541  -9.264 -14.878  22.377   1.000   1.000
-9.601 -14.654  22.545  -9.264 -14.878  22.377  -9.443 -14.759  22.605   1.000   1.000
-9.264 -14.878  22.381  -9.443 -14.759  22.605  -9.152 -14.868  22.580   1.000   1.000
-9.264 -14.878  22.381  -9.152 -14.868  22.580  -9.035 -15.151  22.620   1.000   1.000
-9.443 -14.759  22.610  -9.152 -14.868  22.580  -9.086 -14.861  22.866   1.000   1.000
-9.152 -14.868  22.584  -9.035 -15.151  22.620  -9.086 -14.861  22.866   1.000   1.000
-9.035 -15.151  22.624  -9.086 -14.861  22.866  -8.858 -15.212  22.828   1.000   1.000
-9.086 -14.861  22.871  -8.858 -15.212  22.828  -8.729 -15.195  22.884   1.000   1.000
-9.086 -14.861  22.871  -8.729 -15.195  22.884  -8.861 -14.841  23.057   1.000   1.000
-8.729 -15.195  22.888  -8.861 -14.841  23.057  -8.652 -14.891  23.131   1.000   1.000
-8.729 -15.195  22.888  -8.652 -14.891  23.131  -8.387 -14.943  23.301   1.000   1.000
-8.729 -15.195  22.888  -8.387 -14.943  23.301  -8.009 -15.110  23.400   1.000   1.000
-8.387 -14.943  23.306  -8.009 -15.110  23.400  -7.850 -14.987  23.396   1.000   1.000
-8.387 -14.943  23.306  -7.850 -14.987  23.396  -8.054 -14.763  23.512   1.000   1.000
-8.009 -15.110  23.405  -7.850 -14.987  23.396  -7.701 -15.301  23.491   1.000   1.000
-7.850 -14.987  23.401  -8.054 -14.763  23.512  -7.889 -14.803  23.472   1.000   1.000
-7.850 -14.987  23.401  -7.889 -14.803  23.472  -7.653 -14.864  23.593   1.000   1.000
-7.850 -14.987  23.401  -7.701 -15.301  23.491  -7.653 -14.864  23.593   1.000   1.000
-7.701 -15.301  23.496  -7.653 -14.864  23.593  -7.212 -15.107  23.850   1.000   1.000
-7.701 -15.301  23.496  -7.212 -15.107  23.850  -7.003 -15.541  23.746   1.000   1.000
-7.653 -14.864  23.598  -7.093 -15.086  23.729  -7.068 -14.912  23.712   1.000   1.000
