  8.604  29.634  56.335   8.415  29.815  56.628   8.510  29.545  56.819   1.000   1.000
  8.415  29.815  56.716   8.510  29.545  56.819   7.882  30.053  57.378   1.000   1.000
  7.882  30.053  57.464   7.447  30.397  58.170   7.422  30.195  58.256   1.000   1.000
  7.882  30.053  57.464   7.422  30.195  58.256   7.364  30.040  58.505   1.000   1.000
  7.447  30.397  58.257   7.422  30.195  58.256   7.364  30.040  58.505   1.000   1.000
  7.447  30.397  58.257   7.364  30.040  58.505   7.141  30.316  59.103   1.000   1.000
  7.364  30.040  58.593   6.804  28.402  59.457   7.141  30.316  59.103   1.000   1.000
  6.804  28.402  59.545   6.690  27.805  59.425   6.406  29.062  60.394   1.000   1.000
  6.804  28.402  59.545   7.141  30.316  59.103   6.406  29.062  60.394   1.000   1.000
  6.690  27.805  59.511   6.933  28.460  59.923   6.708  27.738  60.258   1.000   1.000
  6.690  27.805  59.511   6.716  28.230  60.309   6.183  27.114  60.741   1.000   1.000
  6.690  27.805  59.511   6.716  28.230  60.309   6.406  29.062  60.394   1.000   1.000
  6.690  27.805  59.511   6.611  26.977  59.735   6.708  27.738  60.258   1.000   1.000
  7.125  29.177  60.191   6.933  28.460  59.923   6.923  29.275  60.290   1.000   1.000
  7.125  29.177  60.191   7.182  29.800  60.410   6.923  29.275  60.290   1.000   1.000
  7.403  30.514  60.246   7.182  29.800  60.410   7.331  29.990  61.091   1.000   1.000
  7.403  30.514  60.246   7.501  31.198  60.592   7.515  30.649  60.964   1.000   1.000
  7.403  30.514  60.246   7.515  30.649  60.964   6.879  30.018  60.330   1.000   1.000
  7.403  30.514  60.246   7.141  30.316  59.103   6.879  30.018  60.330   1.000   1.000
  6.933  28.460  60.010   6.923  29.275  60.290   6.716  28.230  60.309   1.000   1.000
  6.933  28.460  60.010   6.716  28.230  60.309   6.708  27.738  60.258   1.000   1.000
  7.182  29.800  60.497   6.923  29.275  60.290   7.185  29.152  60.994   1.000   1.000
  7.182  29.800  60.497   7.185  29.152  60.994   7.331  29.990  61.091   1.000   1.000
  7.596  28.728  60.688   7.751  29.406  60.951   7.185  29.152  60.994   1.000   1.000
  6.923  29.275  60.378   6.716  28.230  60.309   6.948  28.438  60.994   1.000   1.000
  6.923  29.275  60.378   7.185  29.152  60.994   6.948  28.438  60.994   1.000   1.000
  7.751  29.406  61.038   7.185  29.152  60.994   7.382  29.650  62.023   1.000   1.000
  7.501  31.198  60.679   7.515  30.649  60.964   7.911  31.501  61.019   1.000   1.000
  7.501  31.198  60.679   7.911  31.501  61.019   7.966  32.062  60.924   1.000   1.000
  7.501  31.198  60.679   7.966  32.062  60.924   7.268  31.850  60.881   1.000   1.000
  6.716  28.230  60.397   6.708  27.738  60.258   6.948  28.438  60.994   1.000   1.000
  6.716  28.230  60.397   6.183  27.114  60.741   6.406  29.062  60.394   1.000   1.000
  6.611  26.977  59.822   6.708  27.738  60.258   6.514  26.924  60.633   1.000   1.000
  6.611  26.977  59.822   6.491  26.278  59.506   6.552  26.144  60.627   1.000   1.000
  6.611  26.977  59.822   6.514  26.924  60.633   6.552  26.144  60.627   1.000   1.000
  6.708  27.738  60.344   6.948  28.438  60.994   6.806  27.691  61.365   1.000   1.000
  6.708  27.738  60.344   6.514  26.924  60.633   6.806  27.691  61.365   1.000   1.000
  7.515  30.649  61.051   7.331  29.990  61.091   7.566  30.146  61.374   1.000   1.000
  7.515  30.649  61.051   7.331  29.990  61.091   6.879  30.018  60.330   1.000   1.000
  7.515  30.649  61.051   7.911  31.501  61.019   7.884  31.173  61.382   1.000   1.000
  7.515  30.649  61.051   7.566  30.146  61.374   7.884  31.173  61.382   1.000   1.000
  7.185  29.152  61.082   6.948  28.438  60.994   6.976  28.452  62.046   1.000   1.000
  7.185  29.152  61.082   7.382  29.650  62.023   6.976  28.452  62.046   1.000   1.000
  7.331  29.990  61.178   7.566  30.146  61.374   7.382  29.650  62.023   1.000   1.000
  7.331  29.990  61.178   7.382  29.650  62.023   6.709  29.383  61.716   1.000   1.000
  7.331  29.990  61.178   6.709  29.383  61.716   6.879  30.018  60.330   1.000   1.000
  6.491  26.278  59.593   6.316  25.707  59.342   6.489  25.610  60.262   1.000   1.000
  6.491  26.278  59.593   5.981  25.997  59.670   6.038  26.201  60.338   1.000   1.000
  6.491  26.278  59.593   5.981  25.997  59.670   5.721  25.747  59.514   1.000   1.000
