 -0.700 -44.236  35.513  -0.483 -44.467  35.417  -0.868 -44.658  36.151   1.000   1.000
 -0.483 -44.467  35.438  -0.868 -44.658  36.151  -0.247 -45.216  36.232   1.000   1.000
 -0.480 -44.183  36.262  -0.133 -44.178  36.384  -0.456 -43.986  36.834   1.000   1.000
 -0.480 -44.183  36.262  -0.456 -43.986  36.834  -0.945 -44.673  36.796   1.000   1.000
 -0.868 -44.658  36.171  -0.247 -45.216  36.232  -0.353 -45.110  36.714   1.000   1.000
 -0.868 -44.658  36.171  -0.945 -44.673  36.796  -0.353 -45.110  36.714   1.000   1.000
 -0.868 -44.658  36.171  -0.945 -44.673  36.796  -1.408 -43.985  36.885   1.000   1.000
 -0.247 -45.216  36.253  -0.353 -45.110  36.714  -0.297 -45.723  36.967   1.000   1.000
 -0.456 -43.986  36.853  -0.945 -44.673  36.796  -0.938 -43.936  37.287   1.000   1.000
 -0.456 -43.986  36.853  -0.938 -43.936  37.287  -0.596 -43.796  37.427   1.000   1.000
 -0.945 -44.673  36.817  -0.353 -45.110  36.714  -0.884 -44.951  37.507   1.000   1.000
 -0.945 -44.673  36.817  -0.938 -43.936  37.287  -0.919 -44.531  37.487   1.000   1.000
 -0.945 -44.673  36.817  -0.919 -44.531  37.487  -0.884 -44.951  37.507   1.000   1.000
 -0.945 -44.673  36.817  -1.408 -43.985  36.885  -1.179 -44.726  37.649   1.000   1.000
 -0.353 -45.110  36.735  -0.884 -44.951  37.507  -0.349 -45.167  37.503   1.000   1.000
 -0.353 -45.110  36.735  -0.297 -45.723  36.967  -0.286 -45.680  37.233   1.000   1.000
 -0.353 -45.110  36.735  -0.349 -45.167  37.503  -0.286 -45.680  37.233   1.000   1.000
 -0.938 -43.936  37.307  -0.596 -43.796  37.427  -0.786 -43.992  38.017   1.000   1.000
 -0.938 -43.936  37.307  -0.919 -44.531  37.487  -0.786 -43.992  38.017   1.000   1.000
 -0.919 -44.531  37.507  -0.884 -44.951  37.507  -1.179 -44.726  37.649   1.000   1.000
 -0.919 -44.531  37.507  -0.786 -43.992  38.017  -1.025 -44.700  37.961   1.000   1.000
 -0.884 -44.951  37.528  -0.349 -45.167  37.503  -0.738 -44.927  38.149   1.000   1.000
 -0.884 -44.951  37.528  -1.025 -44.700  37.961  -0.738 -44.927  38.149   1.000   1.000
 -0.884 -44.951  37.528  -1.025 -44.700  37.961  -1.179 -44.726  37.649   1.000   1.000
 -0.349 -45.167  37.524  -0.286 -45.680  37.233  -0.294 -45.190  38.131   1.000   1.000
