  3.501 -45.980  40.078   3.302 -45.951  40.028   2.948 -45.380  40.624   1.000   1.000
  2.948 -45.380  40.624   2.752 -45.247  40.763   2.970 -45.168  41.271   1.000   1.000
  2.752 -45.247  40.763   2.970 -45.168  41.271   2.646 -44.447  41.534   1.000   1.000
  2.915 -45.891  41.508   2.803 -45.578  41.423   2.775 -45.483  41.848   1.000   1.000
  2.803 -45.578  41.423   2.970 -45.168  41.271   2.659 -45.079  41.473   1.000   1.000
  2.803 -45.578  41.423   2.659 -45.079  41.473   2.775 -45.483  41.848   1.000   1.000
  2.970 -45.168  41.271   2.659 -45.079  41.473   2.646 -44.447  41.534   1.000   1.000
  2.659 -45.079  41.473   2.775 -45.483  41.848   2.634 -45.119  42.059   1.000   1.000
  2.659 -45.079  41.473   2.634 -45.119  42.059   2.125 -44.893  42.244   1.000   1.000
  2.659 -45.079  41.473   2.646 -44.447  41.534   2.125 -44.893  42.244   1.000   1.000
  2.646 -44.447  41.534   2.947 -43.526  41.033   2.661 -43.498  41.592   1.000   1.000
  2.646 -44.447  41.534   2.125 -44.893  42.244   2.573 -44.397  42.232   1.000   1.000
  2.646 -44.447  41.534   2.573 -44.397  42.232   2.599 -43.696  42.148   1.000   1.000
  2.646 -44.447  41.534   2.661 -43.498  41.592   2.599 -43.696  42.148   1.000   1.000
  2.947 -43.526  41.033   2.929 -43.521  41.404   2.661 -43.498  41.592   1.000   1.000
  2.125 -44.893  42.244   2.573 -44.397  42.232   2.526 -44.206  42.785   1.000   1.000
  2.573 -44.397  42.232   2.599 -43.696  42.148   2.526 -44.206  42.785   1.000   1.000
  2.661 -43.498  41.592   2.826 -43.308  41.672   2.976 -43.599  42.163   1.000   1.000
  2.661 -43.498  41.592   2.826 -43.308  41.672   2.533 -43.014  41.705   1.000   1.000
  2.661 -43.498  41.592   2.599 -43.696  42.148   2.976 -43.599  42.163   1.000   1.000
  2.826 -43.308  41.672   2.976 -43.599  42.163   3.005 -42.952  42.232   1.000   1.000
  2.826 -43.308  41.672   2.533 -43.014  41.705   2.672 -42.833  42.158   1.000   1.000
  2.826 -43.308  41.672   3.005 -42.952  42.232   2.672 -42.833  42.158   1.000   1.000
  2.599 -43.696  42.148   2.976 -43.599  42.163   2.638 -43.723  42.843   1.000   1.000
  2.599 -43.696  42.148   2.526 -44.206  42.785   2.638 -43.723  42.843   1.000   1.000
  2.976 -43.599  42.163   2.638 -43.723  42.843   2.635 -43.032  42.970   1.000   1.000
  2.976 -43.599  42.163   3.005 -42.952  42.232   2.635 -43.032  42.970   1.000   1.000
  2.533 -43.014  41.705   2.672 -42.833  42.158   2.746 -42.184  41.560   1.000   1.000
  2.638 -43.723  42.843   2.635 -43.032  42.970   2.557 -42.729  43.372   1.000   1.000
  3.005 -42.952  42.232   2.672 -42.833  42.158   2.635 -43.032  42.970   1.000   1.000
  2.672 -42.833  42.158   2.746 -42.184  41.560   2.929 -42.213  42.185   1.000   1.000
  2.672 -42.833  42.158   2.635 -43.032  42.970   2.713 -42.159  42.829   1.000   1.000
  2.672 -42.833  42.158   2.929 -42.213  42.185   2.713 -42.159  42.829   1.000   1.000
  2.746 -42.184  41.560   3.117 -42.178  41.712   2.929 -42.213  42.185   1.000   1.000
  2.746 -42.184  41.560   3.117 -42.178  41.712   2.989 -41.450  41.451   1.000   1.000
  3.117 -42.178  41.712   2.929 -42.213  42.185   3.038 -41.527  42.155   1.000   1.000
  3.117 -42.178  41.712   2.989 -41.450  41.451   3.038 -41.527  42.155   1.000   1.000
  2.635 -43.032  42.970   2.557 -42.729  43.372   2.713 -42.159  42.829   1.000   1.000
  2.929 -42.213  42.185   2.713 -42.159  42.829   2.914 -41.919  42.776   1.000   1.000
  2.929 -42.213  42.185   3.038 -41.527  42.155   2.914 -41.919  42.776   1.000   1.000
