  1.376 -17.398  23.291   1.615 -17.383  23.584   1.542 -17.334  23.494   1.000   1.000
  1.837 -17.394  23.842   1.938 -17.464  24.156   1.956 -17.145  24.047   1.000   1.000
  1.837 -17.394  23.842   1.972 -17.179  23.900   1.956 -17.145  24.047   1.000   1.000
  1.938 -17.464  24.156   2.102 -17.537  24.484   1.956 -17.145  24.047   1.000   1.000
  2.794 -17.751  25.341   2.817 -17.783  25.751   3.256 -17.831  25.723   1.000   1.000
  2.817 -17.783  25.751   3.256 -17.831  25.723   2.917 -17.837  26.006   1.000   1.000
  3.256 -17.831  25.723   2.917 -17.837  26.006   3.395 -17.868  26.080   1.000   1.000
  2.917 -17.837  26.006   3.395 -17.868  26.080   2.870 -17.989  26.357   1.000   1.000
  3.395 -17.868  26.080   2.870 -17.989  26.357   3.366 -17.909  26.361   1.000   1.000
  2.870 -17.989  26.357   3.366 -17.909  26.361   3.286 -18.042  26.605   1.000   1.000
  2.870 -17.989  26.357   2.890 -18.085  26.590   3.286 -18.042  26.605   1.000   1.000
  3.366 -17.909  26.361   3.286 -18.042  26.605   3.720 -17.907  26.593   1.000   1.000
  4.497 -17.757  28.126   4.313 -17.869  27.946   4.104 -18.054  27.975   1.000   1.000
  4.497 -17.757  28.126   4.104 -18.054  27.975   4.148 -18.082  28.386   1.000   1.000
  4.497 -17.757  28.126   4.148 -18.082  28.386   4.561 -17.971  28.831   1.000   1.000
  2.890 -18.085  26.590   3.286 -18.042  26.605   3.237 -18.216  26.857   1.000   1.000
  3.266 -18.299  27.599   3.280 -18.296  27.931   3.091 -18.411  27.962   1.000   1.000
  3.266 -18.299  27.599   3.280 -18.296  27.931   4.063 -18.019  27.584   1.000   1.000
  3.266 -18.299  27.599   3.219 -18.256  27.216   3.963 -18.005  27.212   1.000   1.000
  3.266 -18.299  27.599   4.063 -18.019  27.584   3.963 -18.005  27.212   1.000   1.000
  3.280 -18.296  27.931   3.091 -18.411  27.962   3.342 -18.285  28.315   1.000   1.000
  3.280 -18.296  27.931   3.342 -18.285  28.315   4.104 -18.054  27.975   1.000   1.000
  3.280 -18.296  27.931   4.104 -18.054  27.975   4.063 -18.019  27.584   1.000   1.000
  3.091 -18.411  27.962   3.342 -18.285  28.315   3.065 -18.446  28.386   1.000   1.000
  3.342 -18.285  28.315   3.065 -18.446  28.386   3.485 -18.301  28.797   1.000   1.000
  3.342 -18.285  28.315   3.485 -18.301  28.797   3.963 -18.173  28.791   1.000   1.000
  3.342 -18.285  28.315   3.963 -18.173  28.791   4.148 -18.082  28.386   1.000   1.000
  3.342 -18.285  28.315   4.104 -18.054  27.975   4.148 -18.082  28.386   1.000   1.000
  3.065 -18.446  28.386   3.053 -18.640  28.802   3.485 -18.301  28.797   1.000   1.000
  3.286 -18.042  26.605   3.237 -18.216  26.857   3.720 -17.907  26.593   1.000   1.000
  3.053 -18.640  28.802   3.485 -18.301  28.797   2.995 -18.516  29.150   1.000   1.000
  3.053 -18.640  28.802   2.833 -18.599  28.883   2.995 -18.516  29.150   1.000   1.000
  3.219 -18.256  27.216   3.237 -18.216  26.857   3.963 -18.005  27.212   1.000   1.000
  3.485 -18.301  28.797   2.995 -18.516  29.150   3.465 -18.240  29.185   1.000   1.000
  3.485 -18.301  28.797   3.465 -18.240  29.185   3.963 -18.173  28.791   1.000   1.000
  2.833 -18.599  28.883   2.995 -18.516  29.150   2.725 -18.581  29.200   1.000   1.000
  2.995 -18.516  29.150   3.465 -18.240  29.185   2.974 -18.632  29.481   1.000   1.000
  2.995 -18.516  29.150   2.725 -18.581  29.200   2.974 -18.632  29.481   1.000   1.000
