 -4.665 -50.917  41.097  -4.593 -51.107  41.470  -4.545 -51.664  41.064   1.000   1.000
 -4.593 -51.107  41.470  -4.545 -51.664  41.064  -4.489 -51.959  41.662   1.000   1.000
 -4.593 -51.107  41.470  -4.532 -51.562  42.035  -4.489 -51.959  41.662   1.000   1.000
 -4.532 -51.562  42.035  -4.489 -51.959  41.662  -4.450 -52.004  42.448   1.000   1.000
 -4.434 -52.210  43.023  -4.511 -52.259  43.668  -4.553 -52.711  43.653   1.000   1.000
 -4.511 -52.259  43.668  -4.553 -52.711  43.653  -4.626 -52.365  44.462   1.000   1.000
 -4.553 -52.711  43.653  -4.626 -52.365  44.462  -4.606 -52.948  44.288   1.000   1.000
 -4.626 -52.365  44.462  -4.606 -52.948  44.288  -4.713 -52.595  45.031   1.000   1.000
 -4.606 -52.948  44.288  -4.713 -52.595  45.031  -4.672 -53.274  45.022   1.000   1.000
 -4.713 -52.595  45.031  -4.672 -53.274  45.022  -4.823 -53.397  45.570   1.000   1.000
 -4.713 -52.595  45.031  -4.823 -53.397  45.570  -4.775 -52.885  45.922   1.000   1.000
 -4.672 -53.274  45.022  -4.823 -53.397  45.570  -4.675 -53.696  45.719   1.000   1.000
 -4.823 -53.397  45.570  -4.775 -52.885  45.922  -4.951 -53.599  45.711   1.000   1.000
 -4.823 -53.397  45.570  -4.951 -53.599  45.711  -4.675 -53.696  45.719   1.000   1.000
 -4.775 -52.885  45.922  -4.951 -53.599  45.711  -4.724 -53.287  46.350   1.000   1.000
 -4.951 -53.599  45.711  -4.675 -53.696  45.719  -5.054 -53.902  46.153   1.000   1.000
 -4.951 -53.599  45.711  -4.724 -53.287  46.350  -5.054 -53.902  46.153   1.000   1.000
 -4.675 -53.696  45.719  -4.674 -53.888  46.159  -5.054 -53.902  46.153   1.000   1.000
 -4.724 -53.287  46.350  -5.054 -53.902  46.153  -5.214 -54.149  46.859   1.000   1.000
 -4.724 -53.287  46.350  -4.700 -53.563  47.032  -5.214 -54.149  46.859   1.000   1.000
 -4.674 -53.888  46.159  -5.054 -53.902  46.153  -4.675 -54.238  46.831   1.000   1.000
 -4.674 -53.888  46.159  -4.700 -53.563  47.032  -4.675 -54.238  46.831   1.000   1.000
 -5.054 -53.902  46.153  -4.675 -54.238  46.831  -5.214 -54.149  46.859   1.000   1.000
 -4.700 -53.563  47.032  -4.675 -54.238  46.831  -4.041 -54.094  47.795   1.000   1.000
 -4.700 -53.563  47.032  -5.214 -54.149  46.859  -5.186 -53.785  47.689   1.000   1.000
 -4.700 -53.563  47.032  -4.581 -53.704  47.736  -5.186 -53.785  47.689   1.000   1.000
 -4.700 -53.563  47.032  -4.581 -53.704  47.736  -4.041 -54.094  47.795   1.000   1.000
 -4.675 -54.238  46.831  -5.214 -54.149  46.859  -5.253 -54.285  47.665   1.000   1.000
 -4.675 -54.238  46.831  -4.536 -54.421  47.626  -5.253 -54.285  47.665   1.000   1.000
 -4.675 -54.238  46.831  -4.536 -54.421  47.626  -4.041 -54.094  47.795   1.000   1.000
 -5.214 -54.149  46.859  -5.253 -54.285  47.665  -5.186 -53.785  47.689   1.000   1.000
 -4.581 -53.704  47.736  -4.606 -53.837  48.188  -5.155 -53.818  48.271   1.000   1.000
 -4.581 -53.704  47.736  -4.606 -53.837  48.188  -4.041 -54.094  47.795   1.000   1.000
 -4.581 -53.704  47.736  -5.155 -53.818  48.271  -5.186 -53.785  47.689   1.000   1.000
 -4.536 -54.421  47.626  -5.197 -54.346  48.336  -4.578 -54.498  48.357   1.000   1.000
 -4.536 -54.421  47.626  -5.197 -54.346  48.336  -5.253 -54.285  47.665   1.000   1.000
 -4.536 -54.421  47.626  -4.578 -54.498  48.357  -4.041 -54.094  47.795   1.000   1.000
 -4.606 -53.837  48.188  -4.514 -53.953  48.952  -5.155 -53.818  48.271   1.000   1.000
 -4.606 -53.837  48.188  -4.514 -53.953  48.952  -4.041 -54.094  47.795   1.000   1.000
 -5.197 -54.346  48.336  -4.578 -54.498  48.357  -4.723 -54.574  49.086   1.000   1.000
 -5.197 -54.346  48.336  -4.723 -54.574  49.086  -5.103 -54.499  49.137   1.000   1.000
 -5.197 -54.346  48.336  -5.103 -54.499  49.137  -5.246 -54.001  49.087   1.000   1.000
 -5.197 -54.346  48.336  -5.253 -54.285  47.665  -5.155 -53.818  48.271   1.000   1.000
 -5.197 -54.346  48.336  -5.155 -53.818  48.271  -5.246 -54.001  49.087   1.000   1.000
 -4.578 -54.498  48.357  -4.723 -54.574  49.086  -4.221 -54.442  49.393   1.000   1.000
 -4.514 -53.953  48.952  -4.519 -53.391  49.472  -4.589 -54.066  49.665   1.000   1.000
 -4.514 -53.953  48.952  -4.221 -54.442  49.393  -4.589 -54.066  49.665   1.000   1.000
 -4.514 -53.953  48.952  -5.155 -53.818  48.271  -5.246 -54.001  49.087   1.000   1.000
 -4.519 -53.391  49.472  -4.589 -54.066  49.665  -4.624 -53.340  49.839   1.000   1.000
 -4.519 -53.391  49.472  -4.624 -53.340  49.839  -4.166 -52.840  50.083   1.000   1.000
 -4.723 -54.574  49.086  -5.103 -54.499  49.137  -5.048 -54.541  49.484   1.000   1.000
 -4.723 -54.574  49.086  -4.221 -54.442  49.393  -4.575 -54.556  49.421   1.000   1.000
 -4.723 -54.574  49.086  -4.575 -54.556  49.421  -5.048 -54.541  49.484   1.000   1.000
 -5.103 -54.499  49.137  -4.589 -54.066  49.665  -5.048 -54.541  49.484   1.000   1.000
 -5.103 -54.499  49.137  -4.589 -54.066  49.665  -5.246 -54.001  49.087   1.000   1.000
 -4.221 -54.442  49.393  -4.575 -54.556  49.421  -4.670 -54.536  50.281   1.000   1.000
 -4.221 -54.442  49.393  -4.589 -54.066  49.665  -4.670 -54.536  50.281   1.000   1.000
 -4.575 -54.556  49.421  -5.048 -54.541  49.484  -4.670 -54.536  50.281   1.000   1.000
 -4.589 -54.066  49.665  -5.048 -54.541  49.484  -4.823 -54.235  50.372   1.000   1.000
 -4.589 -54.066  49.665  -4.823 -54.235  50.372  -4.624 -53.340  49.839   1.000   1.000
 -4.589 -54.066  49.665  -4.670 -54.536  50.281  -4.583 -53.397  50.555   1.000   1.000
 -4.589 -54.066  49.665  -5.100 -53.865  49.573  -5.246 -54.001  49.087   1.000   1.000
 -5.048 -54.541  49.484  -4.823 -54.235  50.372  -4.670 -54.536  50.281   1.000   1.000
 -4.823 -54.235  50.372  -4.670 -54.536  50.281  -5.141 -54.026  51.186   1.000   1.000
 -4.823 -54.235  50.372  -4.624 -53.340  49.839  -4.583 -53.397  50.555   1.000   1.000
 -4.823 -54.235  50.372  -5.141 -54.026  51.186  -5.098 -53.351  50.823   1.000   1.000
 -4.823 -54.235  50.372  -5.098 -53.351  50.823  -4.583 -53.397  50.555   1.000   1.000
 -4.670 -54.536  50.281  -4.854 -53.414  51.277  -4.583 -53.397  50.555   1.000   1.000
 -5.253 -54.285  47.665  -5.155 -53.818  48.271  -5.186 -53.785  47.689   1.000   1.000
 -4.624 -53.340  49.839  -4.166 -52.840  50.083  -4.583 -53.397  50.555   1.000   1.000
 -5.141 -54.026  51.186  -5.409 -53.535  51.891  -5.310 -53.498  51.326   1.000   1.000
 -5.141 -54.026  51.186  -5.310 -53.498  51.326  -5.098 -53.351  50.823   1.000   1.000
 -4.854 -53.414  51.277  -5.409 -53.535  51.891  -4.846 -53.010  52.020   1.000   1.000
 -4.854 -53.414  51.277  -4.846 -53.010  52.020  -3.824 -52.744  51.408   1.000   1.000
 -5.409 -53.535  51.891  -5.310 -53.498  51.326  -5.246 -53.015  51.477   1.000   1.000
 -5.409 -53.535  51.891  -5.373 -53.042  52.038  -5.246 -53.015  51.477   1.000   1.000
