 -7.089 -71.438  69.704  -7.015 -71.609  70.276  -7.012 -72.488  69.837   1.000   1.000
 -7.015 -71.609  70.276  -7.012 -72.488  69.837  -6.951 -72.751  70.753   1.000   1.000
 -7.015 -71.609  70.276  -6.959 -72.104  71.183  -6.951 -72.751  70.753   1.000   1.000
 -6.959 -72.104  71.183  -6.951 -72.751  70.753  -6.888 -72.619  71.871   1.000   1.000
 -6.863 -72.765  72.734  -6.921 -72.679  73.659  -6.990 -73.320  73.751   1.000   1.000
 -6.921 -72.679  73.659  -6.990 -73.320  73.751  -7.015 -72.639  74.810   1.000   1.000
 -6.990 -73.320  73.751  -7.015 -72.639  74.810  -7.035 -73.499  74.708   1.000   1.000
 -7.015 -72.639  74.810  -7.035 -73.499  74.708  -7.096 -72.826  75.673   1.000   1.000
 -7.035 -73.499  74.708  -7.096 -72.826  75.673  -7.094 -73.780  75.826   1.000   1.000
 -7.096 -72.826  75.673  -7.094 -73.780  75.826  -7.234 -73.825  76.636   1.000   1.000
 -7.096 -72.826  75.673  -7.234 -73.825  76.636  -7.145 -73.018  77.005   1.000   1.000
 -7.094 -73.780  75.826  -7.234 -73.825  76.636  -7.097 -74.201  76.914   1.000   1.000
 -7.234 -73.825  76.636  -7.145 -73.018  77.005  -7.370 -74.082  76.888   1.000   1.000
 -7.234 -73.825  76.636  -7.370 -74.082  76.888  -7.097 -74.201  76.914   1.000   1.000
 -7.145 -73.018  77.005  -7.370 -74.082  76.888  -7.101 -73.473  77.705   1.000   1.000
 -7.370 -74.082  76.888  -7.097 -74.201  76.914  -7.476 -74.404  77.591   1.000   1.000
 -7.370 -74.082  76.888  -7.101 -73.473  77.705  -7.476 -74.404  77.591   1.000   1.000
 -7.097 -74.201  76.914  -7.092 -74.361  77.582  -7.476 -74.404  77.591   1.000   1.000
 -7.101 -73.473  77.705  -7.476 -74.404  77.591  -7.626 -74.586  78.654   1.000   1.000
 -7.101 -73.473  77.705  -7.069 -73.692  78.736  -7.626 -74.586  78.654   1.000   1.000
 -7.092 -74.361  77.582  -7.476 -74.404  77.591  -7.089 -74.686  78.617   1.000   1.000
 -7.092 -74.361  77.582  -7.069 -73.692  78.736  -7.089 -74.686  78.617   1.000   1.000
 -7.476 -74.404  77.591  -7.089 -74.686  78.617  -7.626 -74.586  78.654   1.000   1.000
 -7.069 -73.692  78.736  -7.089 -74.686  78.617  -6.409 -74.211  79.922   1.000   1.000
 -7.069 -73.692  78.736  -7.626 -74.586  78.654  -7.549 -73.869  79.735   1.000   1.000
 -7.069 -73.692  78.736  -6.933 -73.709  79.761  -7.549 -73.869  79.735   1.000   1.000
 -7.069 -73.692  78.736  -6.933 -73.709  79.761  -6.409 -74.211  79.922   1.000   1.000
 -7.089 -74.686  78.617  -7.626 -74.586  78.654  -7.645 -74.580  79.827   1.000   1.000
 -7.089 -74.686  78.617  -6.932 -74.739  79.780  -7.645 -74.580  79.827   1.000   1.000
 -7.089 -74.686  78.617  -6.932 -74.739  79.780  -6.409 -74.211  79.922   1.000   1.000
 -7.626 -74.586  78.654  -7.645 -74.580  79.827  -7.549 -73.869  79.735   1.000   1.000
 -6.933 -73.709  79.761  -6.949 -73.785  80.432  -7.499 -73.770  80.564   1.000   1.000
 -6.933 -73.709  79.761  -6.949 -73.785  80.432  -6.409 -74.211  79.922   1.000   1.000
 -6.933 -73.709  79.761  -7.499 -73.770  80.564  -7.549 -73.869  79.735   1.000   1.000
 -6.932 -74.739  79.780  -7.569 -74.497  80.787  -6.953 -74.670  80.833   1.000   1.000
 -6.932 -74.739  79.780  -7.569 -74.497  80.787  -7.645 -74.580  79.827   1.000   1.000
 -6.932 -74.739  79.780  -6.953 -74.670  80.833  -6.409 -74.211  79.922   1.000   1.000
 -6.949 -73.785  80.432  -6.837 -73.754  81.536  -7.499 -73.770  80.564   1.000   1.000
 -6.949 -73.785  80.432  -6.837 -73.754  81.536  -6.409 -74.211  79.922   1.000   1.000
 -7.569 -74.497  80.787  -6.953 -74.670  80.833  -7.079 -74.606  81.885   1.000   1.000
 -7.569 -74.497  80.787  -7.079 -74.606  81.885  -7.456 -74.509  81.953   1.000   1.000
 -7.569 -74.497  80.787  -7.456 -74.509  81.953  -7.572 -73.831  81.763   1.000   1.000
 -7.569 -74.497  80.787  -7.645 -74.580  79.827  -7.499 -73.770  80.564   1.000   1.000
 -7.569 -74.497  80.787  -7.499 -73.770  80.564  -7.572 -73.831  81.763   1.000   1.000
 -6.953 -74.670  80.833  -7.079 -74.606  81.885  -6.554 -74.316  82.269   1.000   1.000
 -6.837 -73.754  81.536  -6.792 -72.838  82.132  -6.894 -73.742  82.573   1.000   1.000
 -6.837 -73.754  81.536  -6.554 -74.316  82.269  -6.894 -73.742  82.573   1.000   1.000
 -6.837 -73.754  81.536  -7.499 -73.770  80.564  -7.572 -73.831  81.763   1.000   1.000
 -6.792 -72.838  82.132  -6.894 -73.742  82.573  -6.882 -72.683  82.641   1.000   1.000
 -6.792 -72.838  82.132  -6.882 -72.683  82.641  -6.383 -71.894  82.846   1.000   1.000
 -7.079 -74.606  81.885  -7.456 -74.509  81.953  -7.390 -74.480  82.450   1.000   1.000
 -7.079 -74.606  81.885  -6.554 -74.316  82.269  -6.916 -74.490  82.348   1.000   1.000
 -7.079 -74.606  81.885  -6.916 -74.490  82.348  -7.390 -74.480  82.450   1.000   1.000
 -7.456 -74.509  81.953  -6.894 -73.742  82.573  -7.390 -74.480  82.450   1.000   1.000
 -7.456 -74.509  81.953  -6.894 -73.742  82.573  -7.572 -73.831  81.763   1.000   1.000
 -6.554 -74.316  82.269  -6.916 -74.490  82.348  -6.981 -74.255  83.561   1.000   1.000
 -6.554 -74.316  82.269  -6.894 -73.742  82.573  -6.981 -74.255  83.561   1.000   1.000
 -6.916 -74.490  82.348  -7.390 -74.480  82.450  -6.981 -74.255  83.561   1.000   1.000
 -6.894 -73.742  82.573  -7.390 -74.480  82.450  -7.115 -73.818  83.621   1.000   1.000
 -6.894 -73.742  82.573  -7.115 -73.818  83.621  -6.882 -72.683  82.641   1.000   1.000
 -6.894 -73.742  82.573  -6.981 -74.255  83.561  -6.820 -72.584  83.664   1.000   1.000
 -6.894 -73.742  82.573  -7.401 -73.512  82.411  -7.572 -73.831  81.763   1.000   1.000
