  3.512 -31.693  42.888   3.708 -31.706  43.427   3.639 -31.606  43.261   1.000   1.000
  3.893 -31.764  43.902   3.990 -31.908  44.479   3.950 -31.333  44.280   1.000   1.000
  3.893 -31.764  43.902   3.969 -31.398  44.008   3.950 -31.333  44.280   1.000   1.000
  3.990 -31.908  44.479   4.137 -32.068  45.085   3.950 -31.333  44.280   1.000   1.000
  4.747 -32.574  46.663   4.771 -32.635  47.418   5.143 -32.796  47.366   1.000   1.000
  4.771 -32.635  47.418   5.143 -32.796  47.366   4.864 -32.751  47.887   1.000   1.000
  5.143 -32.796  47.366   4.864 -32.751  47.887   5.264 -32.887  48.023   1.000   1.000
  4.864 -32.751  47.887   5.264 -32.887  48.023   4.850 -33.018  48.533   1.000   1.000
  5.264 -32.887  48.023   4.850 -33.018  48.533   5.247 -32.957  48.540   1.000   1.000
  4.850 -33.018  48.533   5.247 -32.957  48.540   5.204 -33.184  48.989   1.000   1.000
  4.850 -33.018  48.533   4.883 -33.195  48.962   5.204 -33.184  48.989   1.000   1.000
  5.247 -32.957  48.540   5.204 -33.184  48.989   5.540 -33.013  48.968   1.000   1.000
  6.158 -32.873  51.791   6.025 -33.044  51.458   5.883 -33.344  51.513   1.000   1.000
  6.158 -32.873  51.791   5.883 -33.344  51.513   5.924 -33.403  52.269   1.000   1.000
  6.158 -32.873  51.791   5.924 -33.403  52.269   6.247 -33.272  53.088   1.000   1.000
  4.883 -33.195  48.962   5.204 -33.184  48.989   5.192 -33.491  49.454   1.000   1.000
  5.231 -33.648  50.820   5.242 -33.644  51.431   5.105 -33.820  51.488   1.000   1.000
  5.231 -33.648  50.820   5.242 -33.644  51.431   5.843 -33.274  50.793   1.000   1.000
  5.231 -33.648  50.820   5.184 -33.562  50.114   5.758 -33.233  50.107   1.000   1.000
  5.231 -33.648  50.820   5.843 -33.274  50.793   5.758 -33.233  50.107   1.000   1.000
  5.242 -33.644  51.431   5.105 -33.820  51.488   5.291 -33.635  52.138   1.000   1.000
  5.242 -33.644  51.431   5.291 -33.635  52.138   5.883 -33.344  51.513   1.000   1.000
  5.242 -33.644  51.431   5.883 -33.344  51.513   5.843 -33.274  50.793   1.000   1.000
  5.105 -33.820  51.488   5.291 -33.635  52.138   5.089 -33.880  52.268   1.000   1.000
  5.291 -33.635  52.138   5.089 -33.880  52.268   5.412 -33.687  53.025   1.000   1.000
  5.291 -33.635  52.138   5.412 -33.687  53.025   5.786 -33.536  53.014   1.000   1.000
  5.291 -33.635  52.138   5.786 -33.536  53.014   5.924 -33.403  52.269   1.000   1.000
  5.291 -33.635  52.138   5.883 -33.344  51.513   5.924 -33.403  52.269   1.000   1.000
  5.089 -33.880  52.268   5.112 -34.228  53.035   5.412 -33.687  53.025   1.000   1.000
  5.204 -33.184  48.989   5.192 -33.491  49.454   5.540 -33.013  48.968   1.000   1.000
  5.112 -34.228  53.035   5.412 -33.687  53.025   5.043 -33.994  53.676   1.000   1.000
  5.112 -34.228  53.035   4.922 -34.117  53.184   5.043 -33.994  53.676   1.000   1.000
  5.184 -33.562  50.114   5.192 -33.491  49.454   5.758 -33.233  50.107   1.000   1.000
  5.412 -33.687  53.025   5.043 -33.994  53.676   5.385 -33.574  53.741   1.000   1.000
  5.412 -33.687  53.025   5.385 -33.574  53.741   5.786 -33.536  53.014   1.000   1.000
  4.922 -34.117  53.184   5.043 -33.994  53.676   4.830 -34.068  53.768   1.000   1.000
  5.043 -33.994  53.676   5.385 -33.574  53.741   5.045 -34.202  54.286   1.000   1.000
  5.043 -33.994  53.676   4.830 -34.068  53.768   5.045 -34.202  54.286   1.000   1.000
  5.385 -33.574  53.741   4.830 -34.068  53.768   4.827 -33.622  54.437   1.000   1.000
  5.385 -33.574  53.741   5.786 -33.536  53.014   5.729 -33.420  53.770   1.000   1.000
  5.385 -33.574  53.741   5.729 -33.420  53.770   5.293 -33.401  54.357   1.000   1.000
  5.385 -33.574  53.741   5.655 -33.274  54.414   5.045 -34.202  54.286   1.000   1.000
  5.385 -33.574  53.741   5.293 -33.401  54.357   4.827 -33.622  54.437   1.000   1.000
  4.830 -34.068  53.768   4.827 -33.622  54.437   4.863 -34.152  54.371   1.000   1.000
  4.830 -34.068  53.768   5.045 -34.202  54.286   4.863 -34.152  54.371   1.000   1.000
  5.786 -33.536  53.014   5.924 -33.403  52.269   6.247 -33.272  53.088   1.000   1.000
  5.786 -33.536  53.014   6.247 -33.272  53.088   6.281 -33.254  53.557   1.000   1.000
  5.786 -33.536  53.014   6.281 -33.254  53.557   5.729 -33.420  53.770   1.000   1.000
  5.928 -33.079  50.679   6.025 -33.044  51.458   5.843 -33.274  50.793   1.000   1.000
  5.928 -33.079  50.679   5.843 -33.274  50.793   5.758 -33.233  50.107   1.000   1.000
  5.928 -33.079  50.679   5.896 -33.071  50.003   5.758 -33.233  50.107   1.000   1.000
  6.025 -33.044  51.458   5.883 -33.344  51.513   5.843 -33.274  50.793   1.000   1.000
  6.281 -33.254  53.557   5.729 -33.420  53.770   6.118 -33.201  54.266   1.000   1.000
  6.281 -33.254  53.557   6.118 -33.201  54.266   6.467 -33.110  54.293   1.000   1.000
  6.281 -33.254  53.557   6.467 -33.110  54.293   6.732 -32.947  54.428   1.000   1.000
  5.729 -33.420  53.770   6.118 -33.201  54.266   5.930 -33.079  54.381   1.000   1.000
