 -5.988 -17.874  24.970  -5.965 -18.163  25.481  -5.711 -18.340  25.595   1.000   1.000
 -5.636 -18.504  25.907  -5.439 -18.585  26.028  -5.454 -18.855  26.074   1.000   1.000
 -5.207 -18.948  26.398  -4.833 -18.954  26.592  -4.859 -19.135  26.857   1.000   1.000
 -4.599 -19.365  27.251  -4.434 -19.566  27.466  -4.458 -19.354  27.696   1.000   1.000
 -4.434 -19.566  27.466  -4.458 -19.354  27.696  -4.173 -19.787  27.867   1.000   1.000
 -4.458 -19.354  27.696  -4.173 -19.787  27.867  -4.042 -19.787  28.012   1.000   1.000
 -4.173 -19.787  27.867  -4.042 -19.787  28.012  -3.826 -20.111  28.318   1.000   1.000
 -3.174 -20.302  29.453  -3.294 -20.434  29.568  -2.926 -20.398  29.580   1.000   1.000
 -3.294 -20.434  29.568  -2.926 -20.398  29.580  -2.923 -20.654  29.685   1.000   1.000
 -3.294 -20.434  29.568  -2.923 -20.654  29.685  -3.224 -20.486  29.994   1.000   1.000
 -2.923 -20.654  29.685  -2.792 -21.016  29.740  -2.787 -20.875  30.186   1.000   1.000
 -2.923 -20.654  29.685  -2.787 -20.875  30.186  -3.046 -20.495  30.191   1.000   1.000
 -2.923 -20.654  29.685  -3.224 -20.486  29.994  -3.046 -20.495  30.191   1.000   1.000
 -2.792 -21.016  29.740  -2.787 -20.875  30.186  -2.732 -21.245  30.158   1.000   1.000
 -2.787 -20.875  30.186  -2.732 -21.245  30.158  -2.836 -20.927  30.616   1.000   1.000
 -2.787 -20.875  30.186  -2.836 -20.927  30.616  -3.046 -20.495  30.191   1.000   1.000
 -2.732 -21.245  30.158  -2.715 -21.388  30.576  -2.708 -21.763  30.524   1.000   1.000
 -2.732 -21.245  30.158  -2.715 -21.388  30.576  -2.836 -20.927  30.616   1.000   1.000
 -2.715 -21.388  30.576  -2.529 -21.147  30.629  -2.836 -20.927  30.616   1.000   1.000
 -2.715 -21.388  30.576  -2.529 -21.147  30.629  -2.758 -21.079  31.053   1.000   1.000
 -2.715 -21.388  30.576  -2.677 -21.470  31.019  -2.708 -21.763  30.524   1.000   1.000
 -2.715 -21.388  30.576  -2.677 -21.470  31.019  -2.758 -21.079  31.053   1.000   1.000
 -2.677 -21.470  31.019  -2.738 -21.959  30.882  -2.561 -21.835  31.019   1.000   1.000
 -2.677 -21.470  31.019  -2.738 -21.959  30.882  -2.708 -21.763  30.524   1.000   1.000
 -2.677 -21.470  31.019  -2.561 -21.835  31.019  -2.532 -21.561  31.437   1.000   1.000
 -2.677 -21.470  31.019  -2.532 -21.561  31.437  -2.758 -21.079  31.053   1.000   1.000
 -2.738 -21.959  30.882  -2.561 -21.835  31.019  -2.728 -22.571  31.460   1.000   1.000
