 -1.214 -34.113  27.385  -0.912 -34.290  27.310  -1.451 -34.439  27.876   1.000   1.000
 -0.912 -34.290  27.326  -1.451 -34.439  27.876  -0.586 -34.866  27.939   1.000   1.000
 -0.906 -34.071  27.962  -0.419 -34.065  28.056  -0.871 -33.919  28.403   1.000   1.000
 -0.906 -34.071  27.962  -0.871 -33.919  28.403  -1.560 -34.451  28.374   1.000   1.000
 -1.451 -34.439  27.892  -0.586 -34.866  27.939  -0.733 -34.784  28.310   1.000   1.000
 -1.451 -34.439  27.892  -1.560 -34.451  28.374  -0.733 -34.784  28.310   1.000   1.000
 -1.451 -34.439  27.892  -1.560 -34.451  28.374  -2.204 -33.923  28.443   1.000   1.000
 -0.586 -34.866  27.955  -0.733 -34.784  28.310  -0.657 -35.257  28.506   1.000   1.000
 -0.871 -33.919  28.418  -1.560 -34.451  28.374  -1.545 -33.883  28.752   1.000   1.000
 -0.871 -33.919  28.418  -1.545 -33.883  28.752  -1.066 -33.773  28.861   1.000   1.000
 -1.560 -34.451  28.390  -0.733 -34.784  28.310  -1.476 -34.665  28.922   1.000   1.000
 -1.560 -34.451  28.390  -1.545 -33.883  28.752  -1.522 -34.341  28.907   1.000   1.000
 -1.560 -34.451  28.390  -1.522 -34.341  28.907  -1.476 -34.665  28.922   1.000   1.000
 -1.560 -34.451  28.390  -2.204 -33.923  28.443  -1.888 -34.493  29.031   1.000   1.000
 -0.733 -34.784  28.326  -1.476 -34.665  28.922  -0.728 -34.829  28.919   1.000   1.000
 -0.733 -34.784  28.326  -0.657 -35.257  28.506  -0.642 -35.224  28.711   1.000   1.000
 -0.733 -34.784  28.326  -0.728 -34.829  28.919  -0.642 -35.224  28.711   1.000   1.000
 -1.545 -33.883  28.768  -1.066 -33.773  28.861  -1.333 -33.925  29.315   1.000   1.000
 -1.545 -33.883  28.768  -1.522 -34.341  28.907  -1.333 -33.925  29.315   1.000   1.000
 -1.522 -34.341  28.922  -1.476 -34.665  28.922  -1.888 -34.493  29.031   1.000   1.000
 -1.522 -34.341  28.922  -1.333 -33.925  29.315  -1.671 -34.472  29.272   1.000   1.000
 -1.476 -34.665  28.938  -0.728 -34.829  28.919  -1.271 -34.645  29.417   1.000   1.000
 -1.476 -34.665  28.938  -1.671 -34.472  29.272  -1.271 -34.645  29.417   1.000   1.000
 -1.476 -34.665  28.938  -1.671 -34.472  29.272  -1.888 -34.493  29.031   1.000   1.000
 -0.728 -34.829  28.935  -0.642 -35.224  28.711  -0.651 -34.847  29.403   1.000   1.000
 -0.728 -34.829  28.935  -1.271 -34.645  29.417  -0.651 -34.847  29.403   1.000   1.000
